Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 1,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 2,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 3,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 4,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 5,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 6,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 7,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8,Serie N.º 8
Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T),Tiempo (s),ángulo (rad),Vector velocidad angular (rad/s),Aceleración angular (rad/s²),Posición (m),Vector velocidad (m/s),Aceleración (m/s²),Intensidad de campo magnético (1X) (T),Intensidad de campo magnético (10X) (T),Intensidad de campo magnético (100X) (T)
"0,950","0,000","0,000","0,000","0,0000","0,000","0,000",7.00E-05,7.00E-06,"6,9E-7","0,950","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,-9.00E-06,"-9,3E-7","0,190","-0,017","-0,079","3,927",-4.13E+00,"-0,002","0,094",-1.00E-04,6.00E-06,"-1,4E-6","0,019","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,0E-7",,,,,,,,,,,"9,500","-11,505","-0,002","-0,002","-0,2746",-3.75E-02,-3.75E-02,9.00E-05,3.00E-05,"8,7E-7","9,500","-11,230","0,102","0,154","-0,2681","0,002","0,004",-6.00E-06,2.00E-05,"-5,7E-8",,,,,,,,,,
"1,000","0,000","0,000","0,000","0,0000","0,000","0,000",-2.00E-05,-2.00E-06,"-1,7E-7","1,000","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,-9.00E-06,"-8,9E-7","0,200","-0,017","-0,079","-3,927",-4.13E+00,"-0,002","-0,094",-1.00E-04,6.00E-06,"-1,4E-6","0,020","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,5E-7",,,,,,,,,,,"10,000","-11,506","-0,002",,"-0,2747",-3.75E-02,,1.00E-04,3.00E-05,"1,0E-6","10,000","-11,128","0,154","-0,050","-0,2657","0,004","-0,001",1.00E-05,2.00E-05,"1,0E-7",,,,,,,,,,
"1,050","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-6,3E-7","1,050","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,-9.00E-06,"-9,1E-7","0,210","-0,019","-0,157","-3,927",-4.50E+00,"-0,004","-0,094",-1.00E-04,5.00E-06,"-1,4E-6","0,021","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,2E-7",,,,,,,,,,,,,,,,,,,,,"10,500","-11,076","0,052","-0,132","-0,2644","0,001","-0,003",8.00E-06,2.00E-05,"7,9E-8",,,,,,,,,,
"1,100","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-6,0E-7","1,100","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,-9.00E-06,"-9,1E-7","0,220","-0,020","-0,157",-1.11E-11,-4.88E+00,"-0,004",-4.12E-13,-1.00E-04,5.00E-06,"-1,5E-6","0,022","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,4E-7",,,,,,,,,,,,,,,,,,,,,"11,000","-11,076","0,022","0,657","-0,2644",5.25E-01,"0,016",6.00E-06,2.00E-05,"5,9E-8",,,,,,,,,,
"1,150","0,000","0,000","0,000","0,0000","0,000","0,000",-5.00E-05,-5.00E-06,"-5,4E-7","1,150","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,-9.00E-06,"-8,9E-7","0,230","-0,022","-0,157","0,000",-5.25E+00,"-0,004",1.52E-13,-1.00E-04,5.00E-06,"-1,5E-6","0,023","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,2E-7",,,,,,,,,,,,,,,,,,,,,"11,500","-11,054","0,708","3,627","-0,2639","0,017","0,087",7.00E-06,2.00E-05,"7,1E-8",,,,,,,,,,
"1,200","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-5,8E-7","1,200","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,-9.00E-06,"-8,9E-7","0,240","-0,024","-0,157","0,000",-5.63E+00,"-0,004",1.52E-13,-1.00E-04,5.00E-06,"-1,5E-6","0,024","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,1E-7",,,,,,,,,,,,,,,,,,,,,"12,000","-10,367","3,649","5,986","-0,2475","0,087","0,143",-2.00E-06,2.00E-05,"-2,5E-8",,,,,,,,,,
"1,250","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-6,1E-7","1,250","0,000","0,000","0,000","0,0000","0,000","0,000",-1.00E-04,-1.00E-05,"-9,9E-7","0,250","-0,025","-0,157",1.11E-11,-6.00E+00,"-0,004",2.60E-13,-1.00E-04,5.00E-06,"-1,4E-6","0,025","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,0E-7",,,,,,,,,,,,,,,,,,,,,"12,500","-7,405","6,695","1,092","-0,1768","0,160","0,026",-6.00E-05,1.00E-05,"-5,5E-7",,,,,,,,,,
"1,300","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-6,3E-7","1,300","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,-9.00E-06,"-9,2E-7","0,260","-0,027","-0,157",1.11E-11,-6.38E+00,"-0,004",2.60E-13,-1.00E-04,6.00E-06,"-1,4E-6","0,026","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,4E-7",,,,,,,,,,,,,,,,,,,,,"13,000","-3,673","4,741","-5,686","-0,0877","0,113","-0,136",-2.00E-04,3.00E-06,"-1,7E-6",,,,,,,,,,
"1,350","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-5,8E-7","1,350","0,000","0,000","0,000","0,0000","0,000","0,000",-1.00E-04,-1.00E-05,"-1,0E-6","0,270","-0,028","-0,157","3,927",-6.75E+00,"-0,004","0,094",-1.00E-04,6.00E-06,"-1,3E-6","0,027","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,1E-7",,,,,,,,,,,,,,,,,,,,,"13,500","-2,664","1,008","-4,741","-0,0636","0,024","-0,113",-2.00E-04,3.00E-06,"-1,6E-6",,,,,,,,,,
"1,400","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-5,5E-7","1,400","0,000","0,000","0,000","0,0000","0,000","0,000",-1.00E-04,-1.00E-05,"-1,1E-6","0,280","-0,030","-0,079","3,927",-7.13E+00,"-0,002","0,094",-1.00E-04,6.00E-06,"-1,3E-6","0,028","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,3E-7",,,,,,,,,,,,,,,,,,,,,"14,000","-2,664","0,000","-1,008","-0,0636","0,000","-0,024",-2.00E-04,4.00E-06,"-1,6E-6",,,,,,,,,,
"1,450","0,000","0,000","0,000","0,0000","0,000","0,000",-5.00E-05,-5.00E-06,"-5,4E-7","1,450","0,000","0,000","0,000","0,0000","0,000","0,000",-1.00E-04,-1.00E-05,"-1,1E-6","0,290","-0,030","-0,079","-3,927",-7.13E+00,"-0,002","-0,094",-1.00E-04,6.00E-06,"-1,3E-6","0,029","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,4E-7",,,,,,,,,,,,,,,,,,,,,"14,500","-2,664","0,000",,"-0,0636","0,000",,-2.00E-04,4.00E-06,"-1,5E-6",,,,,,,,,,
"1,500","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-6,2E-7","1,500","0,000","0,000","0,000","0,0000","0,000","0,000",-1.00E-04,-1.00E-05,"-1,1E-6","0,300","-0,031","-0,157",1.11E-11,-7.50E+00,"-0,004",2.60E-13,-1.00E-04,6.00E-06,"-1,3E-6","0,030","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,550","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-6,5E-7","1,550","0,000","0,000","0,000","0,0000","0,000","0,000",-1.00E-04,-1.00E-05,"-1,1E-6","0,310","-0,033","-0,079","3,927",-7.88E+00,"-0,002","0,094",-1.00E-04,7.00E-06,"-1,3E-6","0,031","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,4E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,600","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-6,5E-7","1,600","0,000","0,000","0,000","0,0000","0,000","0,000",-1.00E-04,-1.00E-05,"-1,1E-6","0,320","-0,033","-0,079","-3,927",-7.88E+00,"-0,002","-0,094",-1.00E-04,6.00E-06,"-1,3E-6","0,032","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,650","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-8,1E-7","1,650","0,000","0,000","0,000","0,0000","0,000","0,000",-1.00E-04,-1.00E-05,"-1,0E-6","0,330","-0,035","-0,157","0,000",-8.25E+00,"-0,004","0,000",-1.00E-04,6.00E-06,"-1,4E-6","0,033","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,700","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-7,7E-7","1,700","0,000","0,000",,"0,0000","0,000",,-1.00E-04,-1.00E-05,"-9,8E-7","0,340","-0,036","-0,079","3,927",-8.63E+00,"-0,002","0,094",-1.00E-04,5.00E-06,"-1,4E-6","0,034","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,750","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-7,7E-7",,,,,,,,,,,"0,350","-0,036","-0,079","-3,927",-8.63E+00,"-0,002","-0,094",-1.00E-04,5.00E-06,"-1,5E-6","0,035","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,800","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-7,4E-7",,,,,,,,,,,"0,360","-0,038","-0,157","-3,927",-9.00E+00,"-0,004","-0,094",-1.00E-04,5.00E-06,"-1,5E-6","0,036","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,850","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-7,3E-7",,,,,,,,,,,"0,370","-0,039","-0,157",2.22E-11,-9.38E+00,"-0,004",2.39E-13,-2.00E-04,4.00E-06,"-1,5E-6","0,037","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,900","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-7,0E-7",,,,,,,,,,,"0,380","-0,041","-0,157","0,000",-9.75E+00,"-0,004",-2.82E-13,-2.00E-04,4.00E-06,"-1,5E-6","0,038","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,4E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,950","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-6,1E-7",,,,,,,,,,,"0,390","-0,042","-0,157","0,000","-0,0010","-0,004",2.82E-13,-2.00E-04,4.00E-06,"-1,6E-6","0,039","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,000","0,000","0,000","0,000","0,0000","0,000","0,000",-5.00E-05,-5.00E-06,"-5,3E-7",,,,,,,,,,,"0,400","-0,044","-0,157",-2.22E-11,"-0,0010","-0,004",-2.39E-13,-2.00E-04,4.00E-06,"-1,6E-6","0,040","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,050","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-6,5E-7",,,,,,,,,,,"0,410","-0,046","-0,157",-2.22E-11,"-0,0011","-0,004",-5.20E-13,-2.00E-04,4.00E-06,"-1,6E-6","0,041","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,100","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-7,0E-7",,,,,,,,,,,"0,420","-0,047","-0,157","-3,927","-0,0011","-0,004","-0,094",-2.00E-04,4.00E-06,"-1,6E-6","0,042","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,150","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-7,7E-7",,,,,,,,,,,"0,430","-0,049","-0,236","-3,927","-0,0012","-0,006","-0,094",-2.00E-04,4.00E-06,"-1,6E-6","0,043","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,200","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-7,9E-7",,,,,,,,,,,"0,440","-0,052","-0,236","3,927","-0,0012","-0,006","0,094",-2.00E-04,4.00E-06,"-1,6E-6","0,044","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,5E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,250","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-8,0E-7",,,,,,,,,,,"0,450","-0,053","-0,157","0,000","-0,0013","-0,004","0,000",-2.00E-04,4.00E-06,"-1,6E-6","0,045","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,4E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,300","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-8,2E-7",,,,,,,,,,,"0,460","-0,055","-0,236","-3,927","-0,0013","-0,006","-0,094",-2.00E-04,4.00E-06,"-1,6E-6","0,046","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,7E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,350","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-7,0E-7",,,,,,,,,,,"0,470","-0,058","-0,236","3,927","-0,0014","-0,006","0,094",-2.00E-04,4.00E-06,"-1,6E-6","0,047","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,400","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-8,2E-7",,,,,,,,,,,"0,480","-0,060","-0,157",-3.33E-11,"-0,0014","-0,004",-7.81E-13,-2.00E-04,4.00E-06,"-1,5E-6","0,048","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,1.00E-05,"-8,6E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,450","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-8,1E-7",,,,,,,,,,,"0,490","-0,061","-0,236","-3,927","-0,0015","-0,006","-0,094",-2.00E-04,4.00E-06,"-1,5E-6","0,049","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,500","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-8,1E-7",,,,,,,,,,,"0,500","-0,064","-0,236","3,927","-0,0015","-0,006","0,094",-2.00E-04,4.00E-06,"-1,5E-6","0,050","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,550","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-8,2E-7",,,,,,,,,,,"0,510","-0,066","-0,157","3,927","-0,0016","-0,004","0,094",-2.00E-04,4.00E-06,"-1,5E-6","0,051","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,600","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-7,6E-7",,,,,,,,,,,"0,520","-0,068","-0,157","0,000","-0,0016","-0,004","0,000",-2.00E-04,4.00E-06,"-1,5E-6","0,052","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,650","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-7,2E-7",,,,,,,,,,,"0,530","-0,069","-0,157","-3,927","-0,0016","-0,004","-0,094",-2.00E-04,4.00E-06,"-1,6E-6","0,053","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,700","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-6,6E-7",,,,,,,,,,,"0,540","-0,071","-0,236","-3,927","-0,0017","-0,006","-0,094",-2.00E-04,2.00E-06,"-1,7E-6","0,054","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,750","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-5,5E-7",,,,,,,,,,,"0,550","-0,074","-0,236","3,927","-0,0018","-0,006","0,094",-2.00E-04,2.00E-06,"-1,7E-6","0,055","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,800","0,000","0,000","0,000","0,0000","0,000","0,000",-5.00E-05,-5.00E-06,"-5,2E-7",,,,,,,,,,,"0,560","-0,075","-0,157","0,000","-0,0018","-0,004","0,000",-2.00E-04,3.00E-06,"-1,7E-6","0,056","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,850","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-5,6E-7",,,,,,,,,,,"0,570","-0,077","-0,236","-3,927","-0,0018","-0,006","-0,094",-2.00E-04,3.00E-06,"-1,6E-6","0,057","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,900","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-7,3E-7",,,,,,,,,,,"0,580","-0,080","-0,236","3,927","-0,0019","-0,006","0,094",-2.00E-04,4.00E-06,"-1,6E-6","0,058","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,4E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,950","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-7,3E-7",,,,,,,,,,,"0,590","-0,082","-0,157",6.66E-11,"-0,0019","-0,004",1.56E-12,-2.00E-04,4.00E-06,"-1,5E-6","0,059","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,000","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-6,3E-7",,,,,,,,,,,"0,600","-0,083","-0,236","-3,927","-0,0020","-0,006","-0,094",-1.00E-04,5.00E-06,"-1,5E-6","0,060","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,050","0,000","0,000","0,000","0,0000","0,000","0,000",-6.00E-05,-6.00E-06,"-6,3E-7",,,,,,,,,,,"0,610","-0,086","-0,236","-3,927","-0,0021","-0,006","-0,094",-1.00E-04,5.00E-06,"-1,5E-6","0,061","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,100","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-7,0E-7",,,,,,,,,,,"0,620","-0,088","-0,314","-7,854","-0,0021","-0,008","-0,187",-1.00E-04,5.00E-06,"-1,5E-6","0,062","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,3E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,150","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-6,9E-7",,,,,,,,,,,"0,630","-0,093","-0,393","-11,781","-0,0022","-0,009","-0,281",-2.00E-04,4.00E-06,"-1,5E-6","0,063","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,200","0,000","0,000","0,000","0,0000","0,000","0,000",-7.00E-05,-7.00E-06,"-7,3E-7",,,,,,,,,,,"0,640","-0,096","-0,550","-23,562","-0,0023","-0,013","-0,562",-2.00E-04,4.00E-06,"-1,5E-6","0,064","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,2E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,250","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-8,1E-7",,,,,,,,,,,"0,650","-0,104","-0,864","-35,343","-0,0025","-0,021","-0,844",-1.00E-04,5.00E-06,"-1,5E-6","0,065","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,1E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,300","0,000","0,000","0,000","0,0000","0,000","0,000",-9.00E-05,-9.00E-06,"-9,0E-7",,,,,,,,,,,"0,660","-0,113","-1,257","-54,978","-0,0027","-0,030","-1,312",-1.00E-04,6.00E-06,"-1,4E-6","0,066","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-7,9E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,350","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,-8.00E-06,"-8,4E-7",,,,,,,,,,,"0,670","-0,129","-1,963","-70,686","-0,0031","-0,047","-1,687",-1.00E-04,6.00E-06,"-1,3E-6","0,067","0,000","0,000","0,000","0,0000","0,000","0,000",-8.00E-05,1.00E-05,"-8,0E-7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
